date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:30:48	5774/5774	---M--	200	added ('OK')	image/png	etag:%22168e-5aa01d7a616bc%22	https://mannatthemes.com/dastyle/default/assets/images/logo-sm.png	C:/Users/animesh/Desktop/newTheme/mannatthemes.com/dastyle/default/assets/images/logo-sm.png	(from https://mannatthemes.com/dastyle/default/index.html)
19:30:48	4566/4566	---M--	200	added ('OK')	image/png	etag:%2211d6-5aa01d7a616bc%22	https://mannatthemes.com/dastyle/default/assets/images/logo.png	C:/Users/animesh/Desktop/newTheme/mannatthemes.com/dastyle/default/assets/images/logo.png	(from https://mannatthemes.com/dastyle/default/index.html)
19:30:49	4580/4580	---M--	200	added ('OK')	image/png	etag:%2211e4-5aa01d7a616bc%22	https://mannatthemes.com/dastyle/default/assets/images/logo-dark.png	C:/Users/animesh/Desktop/newTheme/mannatthemes.com/dastyle/default/assets/images/logo-dark.png	(from https://mannatthemes.com/dastyle/default/index.html)
19:30:49	35443/35443	---M-Z	200	added ('OK')	text/html	etag:%228a73-5aa01d7a710bd-gzip%22	https://mannatthemes.com/dastyle/default/crm-index.html	C:/Users/animesh/Desktop/newTheme/mannatthemes.com/dastyle/default/crm-index.html	(from https://mannatthemes.com/dastyle/default/index.html)
19:30:49	35188/35188	---M-Z	200	added ('OK')	text/html	etag:%228974-5aa01d7a72ffd-gzip%22	https://mannatthemes.com/dastyle/default/helpdesk-index.html	C:/Users/animesh/Desktop/newTheme/mannatthemes.com/dastyle/default/helpdesk-index.html	(from https://mannatthemes.com/dastyle/default/index.html)
19:30:49	34077/34077	---M-Z	200	added ('OK')	text/html	etag:%22851d-5aa01d7a75edd-gzip%22	https://mannatthemes.com/dastyle/default/sales-index.html	C:/Users/animesh/Desktop/newTheme/mannatthemes.com/dastyle/default/sales-index.html	(from https://mannatthemes.com/dastyle/default/index.html)
19:30:50	38199/38199	---M-Z	200	added ('OK')	text/html	etag:%229537-5aa01d7a35799-gzip%22	https://mannatthemes.com/dastyle/default/apps-email-inbox.html	C:/Users/animesh/Desktop/newTheme/mannatthemes.com/dastyle/default/apps-email-inbox.html	(from https://mannatthemes.com/dastyle/default/index.html)
19:30:50	29443/29443	---M-Z	200	added ('OK')	text/html	etag:%227303-5aa01d7a35799-gzip%22	https://mannatthemes.com/dastyle/default/apps-email-read.html	C:/Users/animesh/Desktop/newTheme/mannatthemes.com/dastyle/default/apps-email-read.html	(from https://mannatthemes.com/dastyle/default/index.html)
19:30:50	33087/33087	---M-Z	200	added ('OK')	text/html	etag:%22813f-5aa01d7a35799-gzip%22	https://mannatthemes.com/dastyle/default/apps-chat.html	C:/Users/animesh/Desktop/newTheme/mannatthemes.com/dastyle/default/apps-chat.html	(from https://mannatthemes.com/dastyle/default/index.html)
19:30:50	32245/32245	---M-Z	200	added ('OK')	text/html	etag:%227df5-5aa01d7a35799-gzip%22	https://mannatthemes.com/dastyle/default/apps-contact-list.html	C:/Users/animesh/Desktop/newTheme/mannatthemes.com/dastyle/default/apps-contact-list.html	(from https://mannatthemes.com/dastyle/default/index.html)
